        Frequency / THz                Eps' (Fit)/real
               718.94891                      -1.2001437
               719.28931                      -1.1988947
               719.62964                      -1.1976593
               719.96997                      -1.1964372
                720.3103                      -1.1952288
                720.6507                      -1.1940336
               720.99097                      -1.1928518
                721.3313                      -1.1916832
               721.67169                      -1.1905277
               721.73395                      -1.1903176
               722.01196                      -1.1893852
               722.35236                      -1.1882557
               722.69269                       -1.187139
               723.03302                      -1.1860353
               723.37335                      -1.1849443
               723.71375                      -1.1838658
               724.05402                      -1.1828001
               724.39441                      -1.1817467
               724.73474                      -1.1807059
               725.07507                      -1.1796774
               725.41541                      -1.1786611
                725.7558                      -1.1776571
               725.99384                       -1.176962
               726.09607                      -1.1766652
                726.4364                      -1.1756853
               726.77679                      -1.1747174
               727.11707                      -1.1737615
               727.45746                      -1.1728173
               727.79779                       -1.171885
               728.13812                      -1.1709642
               728.47845                      -1.1700552
               728.81885                      -1.1691576
               729.15912                      -1.1682715
               729.49951                      -1.1673968
               729.83984                      -1.1665335
               730.18024                      -1.1656812
               730.27881                      -1.1654364
               730.52051                      -1.1648403
               730.86084                      -1.1640104
               731.20117                      -1.1631916
                731.5415                      -1.1623837
                731.8819                      -1.1615866
               732.22217                      -1.1608005
               732.56256                       -1.160025
               732.90289                      -1.1592603
               733.24329                       -1.158506
               733.58356                      -1.1577624
               733.92395                      -1.1570293
               734.26422                      -1.1563064
               734.58911                      -1.1556262
               734.60461                       -1.155594
               734.94495                      -1.1548917
               735.28534                      -1.1541997
               735.62561                      -1.1535178
               735.96594                       -1.152846
               736.30634                      -1.1521841
               736.64661                      -1.1515321
                 736.987                        -1.15089
               737.32727                      -1.1502577
               737.66766                      -1.1496351
                 738.008                      -1.1490221
               738.34839                      -1.1484187
               738.68866                      -1.1478248
                738.9248                      -1.1474183
               739.02905                      -1.1472403
               739.36938                      -1.1466652
               739.70972                      -1.1460994
               740.05005                       -1.145543
               740.39044                      -1.1449957
               740.73071                      -1.1444575
               741.07104                      -1.1439284
               741.41144                      -1.1434082
